JOB,MONTHLY SALARY
Medical,"133333"
Project Manager,"125000"
Life Sciences Consultant,"116666"
Data Scientist,"91666"
HR Manager,"66666"
Chartered Accountant,"66500"
Software Developer,"50000"
Data Analyst,"50000"
Restaurant Manager,"37281"
Legal Advisor,"35532"
Journalist,"31442"
Interior Designer,"25000"
Mechanical Engineer,"20850"
Accountant,"20000"
Writer,"20000"
Teacher,"20000"
Graphic Designer,"20000"
Data Entry Operator,"15228"
Fashion Stylist,"40625"
Photographer,"17612"
UI/UX designer ,"30000"
Civil Engineer ,"20619"
Pharmacist,"19000"
Nurse ,"19374"
Pilot,"300000"
Airhostess ,"43225"
Waiter / Waitress,"9475"
Student,"0"